;Id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive;category
0;UCofQxJWd4qkqc7ZgaLkZfcw;Linguisticae;;yes;1.0;228436;152;130898;FR;2014-12-20T21:03:52.000Z;1766;Langue française, langues et linguistique
1;UCiS98AQGiMcu-cTIO9iZv_g;Code MU;;yes;2.0;69315;77;27342;FR;2014-05-26T09:55:47.000Z;1974;Langue française, langues et linguistique
2;UC3rbgmQApsfAhvQ5Oa0azsQ;Langue des signes;;yes;3.0;15745;737;18719;FR;2014-07-20T21:47:25.000Z;1919;Langue française, langues et linguistique
3;UC1ipKNAWcHhmcqKUEGg1RMg;Le Monde des Langues;;yes;4.0;17557;242;11662;not set;2015-10-19T15:52:28.000Z;1463;Langue française, langues et linguistique
4;UCV7LqtLm0-NW4x1W5AUu-QA;La Minute Belge;;yes;5.0;8480;44;6814;BE;2015-12-21T16:51:22.000Z;1400;Langue française, langues et linguistique
5;UCXw2TBQp-GEhM1bsBASuv8g;Monsieur Wild;;yes;6.0;7765;58;4188;FR;2013-10-20T15:45:34.000Z;2192;Langue française, langues et linguistique
6;UC0efyK_-Athm8yhyjNSqndQ;Les Langues de Cha;;yes;7.0;18832;15;3069;not set;2015-02-18T19:30:09.000Z;1706;Langue française, langues et linguistique
7;UCbMwZeGQwv3lrwELbojTYNw;Signes&Vous;;yes;8.0;2710;48;1859;FR;2015-08-25T10:20:39.000Z;1518;Langue française, langues et linguistique
8;UCO-YDXoZJNVJFmF1UJ17rEw;La Brigade du Livre;;no;;37617;38;7777;FR;2015-01-13T17:04:22.000Z;1742;Langue française, langues et linguistique
9;UCNgqo37ZR6hkgvfCc-VLGtA;C est jeune et ça sait tout;;no;;4322;2;310;FR;2017-02-05T01:28:09.000Z;988;Langue française, langues et linguistique
10;UCNhX3WQEkraW3VHPyup8jkQ;Langfocus;;no;;703296;138;645178;CA;2014-08-31T12:39:50.000Z;1877;Langue française, langues et linguistique
11;UCMk_WSPy3EE16aK5HLzCJzw;NativLang;;no;;547824;178;388926;US;2009-12-01T20:09:53.000Z;3611;Langue française, langues et linguistique
12;UCeEb8pfFV5zWNX2fCiG6UDw;L insolente linguiste;;no;;5363;4;522;CA;2016-03-19T16:33:06.000Z;1311;Langue française, langues et linguistique
13;UC8miF2H8VfLDDGeslNaWHfQ;Elles Comme Linguistes;;no;;3681;47;1085;not set;2016-07-10T10:31:50.000Z;1198;Langue française, langues et linguistique
14;UCcziTK2NKeWtWQ6kB5tmQ8Q;e-penser;;no;;1049537;123;888653;FR;2013-08-26T19:18:50.000Z;2247;Langue française, langues et linguistique
15;UCW2y2m-mgYg4Y7VLyjIQWWg;Tyllou;;no;;37443;170;17422;not set;2006-05-24T17:14:58.000Z;4898;Langue française, langues et linguistique
16;UC2_OG1L8DLTzQ7UrZVOk7OA;Axolot;;no;;518820;28;171745;not set;2013-06-10T09:52:24.000Z;2324;Langue française, langues et linguistique
17;UCtqICqGbPSbTN09K1_7VZ3Q;DirtyBiology;;no;;742089;71;426949;FR;2014-02-17T23:26:27.000Z;2072;Langue française, langues et linguistique
18;UCqwEgY8hItR-OLDtNHIBf_Q;B-False;;no;;1499;16;775;not set;2015-04-23T20:02:38.000Z;1642;Langue française, langues et linguistique
19;UCzj9-ZfpJ74vYv1RZzAWTVg;Confessions d Histoire;;no;;127983;11;35968;FR;2015-02-06T09:41:30.000Z;1718;Langue française, langues et linguistique
20;UC_yP2DpIgs5Y1uWC0T03Chw;Joueur Du Grenier;;no;;3244240;122;6727043;not set;2009-09-29T14:07:35.000Z;3674;Langue française, langues et linguistique
21;UCvsT2e-SyiVm4NnTVjzWCkA;Nyo.;;no;;66426;74;11186;FR;2009-04-02T07:05:48.000Z;3854;Langue française, langues et linguistique
22;UCHCph-_jLba_9atyCZJPLQQ;How It Should Have Ended;;no;;8703038;341;22580200;not set;2007-03-05T21:41:41.000Z;4613;Langue française, langues et linguistique
23;UCOpcACMWblDls9Z6GERVi1A;Screen Junkies;;no;;6607481;958;22263374;not set;2008-10-03T18:18:11.000Z;4035;Langue française, langues et linguistique
24;UCzjd9v6DMprAAvOBB4sxBPA;LE GRAND JD;;no;;2370056;236;2507589;CH;2009-05-06T09:38:23.000Z;3820;Langue française, langues et linguistique
25;UCjED9uS41ioeFuPfbR-OBlw;Les Freres Poulain;;no;;88076;118;55000;FR;2014-11-13T12:41:26.000Z;1803;Langue française, langues et linguistique
26;UCaNlbnghtwlsGF-KzAFThqA;ScienceEtonnante;;no;;639896;78;377693;not set;2011-01-04T19:46:19.000Z;3212;Langue française, langues et linguistique
27;UCq-8pBMM3I40QlrhM9ExXJQ;La Tronche en Biais;;no;;133388;197;85818;FR;2014-11-11T22:18:20.000Z;1805;Langue française, langues et linguistique
28;UCMkOKU7usWmqcpLDcWG9PtQ;Vled Tapas;;no;;24261;61;6681;not set;2013-09-24T01:51:06.000Z;2218;Langue française, langues et linguistique
29;UC5eOLQO5VUEFJukNg9cl5jg;Dave Sheik;;no;;211334;78;118493;FR;2014-02-13T00:32:04.000Z;2076;Langue française, langues et linguistique
30;UCyJDHgrsUKuWLe05GvC2lng;Stupid Economics;;no;;154390;60;37787;FR;2015-06-19T15:33:06.000Z;1585;Langue française, langues et linguistique
31;UCeR8BYZS7IHYjk_9Mh5JgkA;Scilabus;;no;;137603;85;49194;CA;2013-09-12T02:36:57.000Z;2230;Langue française, langues et linguistique
32;UCjsHDXUU3BjBCG7OaCbNDyQ;Le Sense Of Wonder;;no;;128189;18;25704;not set;2015-05-21T06:28:30.000Z;1614;Langue française, langues et linguistique
33;UCWYxQt9Y3y2CDzXLf2K7xCA;Lanterne Cosmique;;no;;111506;28;41259;not set;2014-10-12T16:01:28.000Z;1835;Langue française, langues et linguistique
34;UCND0gjuG9ltEWDvh82VJITg;Jeannot Nymouce;;no;;66388;27;23110;FR;2014-08-14T12:39:20.000Z;1894;Langue française, langues et linguistique
35;UCGeFgMJfWclTWuPw8Ok5FUQ;horizon-gull;;no;;151731;38;47771;not set;2013-11-05T16:41:14.000Z;2176;Langue française, langues et linguistique
36;UCmDMRVBFUyeNscAf1UmILzA;Lex Tutor;;no;;56051;16;8467;not set;2011-07-09T21:30:19.000Z;3026;Langue française, langues et linguistique
37;UCoqP9jjQAFBUH5HOyvoE8-g;Signes&Nous;;no;;470;5;164;not set;2017-01-09T05:05:12.000Z;1015;Langue française, langues et linguistique
